IZ,year,Y,E
S02000260,2002,30,25.29313508
S02000261,2002,13,10.71034366
S02000262,2002,27,25.92405033
S02000263,2002,18,21.4288178
S02000264,2002,37,36.59267554
S02000265,2002,11,15.73415831
S02000266,2002,13,18.7841247
S02000267,2002,18,18.20505787
S02000268,2002,33,38.18462016
S02000269,2002,20,25.89990536
S02000270,2002,33,36.77598699
S02000271,2002,19,25.46202819
S02000272,2002,34,28.44951231
S02000273,2002,15,19.28438234
S02000274,2002,12,17.7150589
S02000275,2002,10,18.67531166
S02000276,2002,24,21.43227897
S02000277,2002,36,21.69210496
S02000278,2002,9,15.20821848
S02000279,2002,59,35.28772384
S02000280,2002,29,22.38648397
S02000281,2002,23,24.60758507
S02000282,2002,24,23.57591413
S02000283,2002,22,15.46248329
S02000284,2002,18,19.49774054
S02000285,2002,5,12.23712786
S02000286,2002,25,22.83301279
S02000287,2002,22,22.85173295
S02000310,2002,31,28.37950266
S02000311,2002,38,40.40225818
S02000312,2002,7,16.56639897
S02000313,2002,26,21.85865541
S02000314,2002,47,30.57923619
S02000316,2002,19,23.17023814
S02000317,2002,16,32.76518714
S02000318,2002,36,33.71342824
S02000319,2002,14,15.73745494
S02000320,2002,20,18.61558565
S02000321,2002,42,30.82851733
S02000322,2002,46,20.50241038
S02000323,2002,18,22.25621756
S02000324,2002,22,22.29706975
S02000325,2002,11,31.92767278
S02000326,2002,25,33.54267779
S02000327,2002,29,26.25127567
S02000328,2002,55,31.05671067
S02000329,2002,25,19.43673212
S02000584,2002,19,19.95345817
S02000585,2002,50,26.50741064
S02000586,2002,22,10.88104098
S02000587,2002,24,20.65006203
S02000588,2002,19,14.3569433
S02000589,2002,47,30.31836148
S02000590,2002,19,12.41376987
S02000591,2002,10,17.59552749
S02000592,2002,30,21.60509871
S02000593,2002,57,31.85961269
S02000594,2002,20,21.68389893
S02000595,2002,17,18.39828865
S02000596,2002,30,31.14265412
S02000597,2002,54,25.4632453
S02000598,2002,23,22.8152594
S02000599,2002,29,26.60807079
S02000600,2002,18,21.15788482
S02000601,2002,27,20.97551134
S02000602,2002,40,33.67666147
S02000603,2002,27,21.55866549
S02000604,2002,17,19.36208454
S02000605,2002,27,13.67792124
S02000606,2002,45,22.84312164
S02000607,2002,25,24.86098683
S02000608,2002,31,22.14367508
S02000609,2002,10,16.51753026
S02000610,2002,40,39.39884258
S02000611,2002,37,24.48610284
S02000612,2002,29,33.80262286
S02000613,2002,35,19.48264417
S02000614,2002,18,21.23221997
S02000615,2002,31,23.65661652
S02000616,2002,39,21.05155978
S02000617,2002,36,20.33754186
S02000618,2002,36,24.37919197
S02000619,2002,47,25.0382678
S02000620,2002,42,28.85267789
S02000621,2002,77,39.40072682
S02000622,2002,23,13.26628328
S02000623,2002,24,23.57190299
S02000624,2002,36,20.45520247
S02000625,2002,42,21.13495249
S02000626,2002,39,27.42379629
S02000627,2002,38,38.66157604
S02000628,2002,41,29.02456799
S02000629,2002,26,15.76610532
S02000630,2002,38,19.79516947
S02000631,2002,39,25.82808703
S02000632,2002,52,32.18912307
S02000633,2002,64,29.37464564
S02000634,2002,25,19.65420838
S02000635,2002,75,30.19150118
S02000636,2002,31,24.54914468
S02000637,2002,43,27.28253237
S02000638,2002,55,34.50492299
S02000639,2002,20,19.89326863
S02000640,2002,68,35.56198418
S02000641,2002,48,34.031952
S02000642,2002,24,15.77979058
S02000643,2002,49,25.89559714
S02000644,2002,18,15.38418502
S02000645,2002,15,17.21567391
S02000646,2002,42,20.19989982
S02000647,2002,27,17.15074398
S02000648,2002,61,23.75868777
S02000649,2002,26,14.38078799
S02000650,2002,26,17.54727854
S02000651,2002,23,12.54278203
S02000652,2002,37,13.83335637
S02000653,2002,30,16.70613846
S02000654,2002,86,36.22839403
S02000655,2002,25,15.01267449
S02000656,2002,46,28.54340825
S02000657,2002,55,33.79367478
S02000658,2002,69,45.28318205
S02000659,2002,62,35.70457597
S02000660,2002,73,37.95508614
S02000661,2002,20,16.49716147
S02000662,2002,29,14.69839236
S02000663,2002,71,29.33783084
S02000664,2002,19,22.20347664
S02000665,2002,18,15.46126362
S02000666,2002,60,27.8981118
S02000667,2002,78,36.99068331
S02000668,2002,17,9.763566801
S02000669,2002,41,22.2258558
S02000670,2002,22,16.06588203
S02000671,2002,25,20.8008669
S02000672,2002,16,17.44464131
S02000673,2002,20,15.67259608
S02000674,2002,37,10.96016196
S02000675,2002,21,23.71876714
S02000676,2002,18,19.24612571
S02000677,2002,16,18.66570668
S02000678,2002,38,19.20493035
S02000679,2002,28,24.8339486
S02000680,2002,30,17.5783881
S02000681,2002,13,17.78540467
S02000682,2002,14,16.98435424
S02000683,2002,16,13.44676292
S02000684,2002,36,17.49769852
S02000685,2002,44,24.67586925
S02000686,2002,27,23.57916722
S02000687,2002,29,19.88993807
S02000688,2002,32,24.80142473
S02000689,2002,27,37.1445159
S02000690,2002,31,32.79890571
S02000691,2002,68,32.07227878
