IZ,Y,E,jsa,ethnic,no2
S02000260,90,93.19476778,4.6,7.54,16.13495
S02000261,20,43.78443407,1.775,6.27,15.26339
S02000262,58,92.03013576,1.8,9.73,15.26339
S02000263,43,81.48187917,1.2,16.12,17.25486
S02000264,52,122.6409522,2.15,5.83,16.00147667
S02000265,24,56.49576284,2,7.44,15.42137
S02000266,33,60.08717751,1.4,16.52,11.81799
S02000267,32,68.91909548,1.25,4.99,13.88162
S02000268,92,131.1974916,1.65,4.91,11.36180514
S02000269,55,82.27797152,1.1,15.49,14.595805
S02000270,71,118.0119209,2.8,5.49,12.5773475
S02000271,42,87.52090582,1.9,8.45,12.50225
S02000272,31,87.61277028,1,9.5,13.21203
S02000273,26,66.46016847,1.2,3.01,12.77988
S02000274,30,62.49025449,3.1,0.88,11.99828727
S02000275,28,60.58505775,4.4,2.87,14.75675
S02000276,47,94.23159902,1.1,7.26,11.48232
S02000277,103,71.61157697,8.35,2.48,13.72704
S02000278,22,54.43963177,2.25,0.69,9.009247467
S02000279,73,100.072286,2.3,4.39,9.519681615
S02000280,59,71.95398973,5.3,0.94,11.45451
S02000281,79,85.45327675,4.45,4.98,10.35586367
S02000282,43,77.653425,1.4,6.32,10.04793
S02000283,52,51.81979689,3.9,0.31,9.272744
S02000284,56,65.71000817,3.1,3.69,9.684478333
S02000285,25,55.4591462,1.1,3.62,6.988739611
S02000286,52,82.174116,2.9,1.35,7.043413143
S02000287,59,93.71602912,3.9,1.54,5.616647933
S02000310,61,97.99445247,1.825,2.15,6.798718621
S02000311,61,140.3843359,1.3,14.3,8.701930031
S02000312,25,61.62811094,1.5,15.9,11.74959667
S02000313,85,105.1889879,1.95,18.46,13.823225
S02000314,97,107.9299589,3.475,2.28,7.10221
S02000316,26,79.35781883,0.7,9.95,12.95642
S02000317,64,115.5115376,1.15,5.82,15.15502
S02000318,81,124.4796031,1.675,23.43,11.9465553
S02000319,32,57.97538363,1.2,3.96,14.5796
S02000320,28,68.19095255,1.7,7.55,15.85649
S02000321,88,114.9199441,2.75,1.89,10.369225
S02000322,49,70.61045979,7.35,1.85,12.75955
S02000323,46,79.91434772,1,5.4,17.31301
S02000324,64,77.7758805,2.85,18.59,17.17173
S02000325,61,107.2096507,1,4.96,16.25468
S02000326,63,113.7048518,1.6,18.9,17.66369
S02000327,75,88.06901418,2.4,19.23,17.40315
S02000328,110,115.2227377,7.3,2.97,12.88887
S02000329,50,67.57909163,2.45,1.59,12.64524
S02000584,84,69.38597348,6.65,6.38,13.00068833
S02000585,163,101.1243348,9,3.74,13.292985
S02000586,74,75.97323846,3.5,38.56,12.2548375
S02000587,81,76.93655123,7.05,13.31,17.91628
S02000588,140,65.72115617,9.425,9.24,14.70695
S02000589,129,90.61915106,7.5,3.98,15.73847
S02000590,57,56.9404484,4.8,26.33,16.109355
S02000591,47,53.41170234,2.3,7.24,14.63585
S02000592,122,79.35544438,9.275,25.73,14.68142
S02000593,86,97.59272406,2.55,13.85,20.3134
S02000594,74,61.33077906,5.6,16.08,17.189
S02000595,52,66.24519459,4.1,7.92,17.48795
S02000596,92,100.4656105,3.55,28.89,17.64882
S02000597,154,98.21885698,8.625,4.6,15.70555
S02000598,42,67.12186215,2.35,15.3,17.17453
S02000599,66,78.35015682,4.7,15.73,20.3134
